,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,ProdTaken,NumberOfFollowups_outlier,Income_Category,id
2,36.0,1.0,1.0,600.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,2.0,278145.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
14,53.0,0.0,2.0,840.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,300000.0,2.0,1.0,0.0,1.0,0.0,1.0,14.0
15,20.0,1.0,1.0,1440.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,253665.0,2.0,1.0,0.0,1.0,0.0,0.0,15.0
17,18.0,1.0,2.0,2100.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,0.0,3.0,1.0,500000.0,3.0,1.0,0.0,1.0,0.0,4.0,17.0
22,29.0,0.0,1.0,480.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,262725.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0
40,38.0,0.0,2.0,840.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,4.0,378210.0,1.0,0.0,0.0,1.0,0.0,3.0,40.0
48,32.0,0.0,2.0,1500.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,2.0,4.0,429570.0,3.0,0.0,0.0,1.0,0.0,4.0,48.0
57,50.0,0.0,2.0,960.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,4.0,427050.0,1.0,1.0,0.0,1.0,0.0,4.0,57.0
70,21.0,1.0,2.0,780.0,2.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,316770.0,1.0,0.0,0.0,1.0,0.0,1.0,70.0
96,33.4,0.0,1.0,1020.0,1.0,0.0,1.0,3.0,2.0,3.0,6.0,1.0,4.0,3.0,270870.0,1.0,0.0,0.0,1.0,0.0,0.0,96.0
97,33.0,1.0,2.0,540.0,2.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,4.0,2.0,320000.0,2.0,1.0,0.0,1.0,0.0,1.0,97.0
103,34.0,1.0,2.0,1200.0,1.0,0.0,2.0,4.0,0.0,3.0,7.0,0.0,4.0,2.0,270405.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0
111,24.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,4.0,344400.0,2.0,1.0,0.0,1.0,0.0,2.0,111.0
121,38.0,0.0,2.0,960.0,2.0,0.0,2.0,3.0,0.0,4.0,5.0,0.0,2.0,2.0,270000.0,2.0,1.0,0.0,1.0,0.0,0.0,121.0
128,38.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,260310.0,2.0,0.0,0.0,1.0,0.0,0.0,128.0
132,26.0,0.0,1.0,840.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,267015.0,2.0,0.0,0.0,1.0,0.0,0.0,132.0
145,50.0,1.0,2.0,900.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,274380.0,2.0,0.0,0.0,1.0,0.0,0.0,145.0
168,33.0,0.0,2.0,1080.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,342585.0,2.0,0.0,0.0,1.0,0.0,2.0,168.0
182,25.0,1.0,2.0,960.0,2.0,1.0,3.0,5.0,0.0,3.0,3.0,0.0,1.0,2.0,333030.0,0.0,0.0,0.0,1.0,1.0,2.0,182.0
184,50.0,1.0,1.0,1080.0,0.0,1.0,3.0,5.0,0.0,3.0,5.0,0.0,2.0,2.0,306420.0,2.0,1.0,0.0,1.0,1.0,1.0,184.0
185,27.0,1.0,1.0,540.0,1.0,1.0,3.0,5.0,0.0,4.0,2.0,1.0,1.0,2.0,270780.0,0.0,1.0,0.0,1.0,1.0,0.0,185.0
190,24.0,1.0,1.0,480.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,263715.0,1.0,1.0,0.0,1.0,0.0,0.0,190.0
219,31.0,0.0,2.0,540.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,4.0,2.0,397935.0,1.0,0.0,0.0,1.0,0.0,3.0,219.0
266,32.0,0.0,1.0,540.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,264420.0,2.0,0.0,0.0,1.0,0.0,0.0,266.0
275,52.0,1.0,3.0,600.0,2.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,1.0,2.0,266460.0,2.0,0.0,1.0,1.0,0.0,0.0,275.0
293,42.0,1.0,2.0,720.0,2.0,1.0,3.0,4.0,1.0,4.0,2.6,0.0,1.0,4.0,484320.0,1.0,1.0,1.0,1.0,0.0,4.0,293.0
300,30.0,0.0,2.0,1320.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,2.0,4.0,397965.0,3.0,0.0,1.0,1.0,0.0,3.0,300.0
324,31.0,1.0,1.0,540.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,339645.0,3.0,0.0,1.0,1.0,0.0,2.0,324.0
338,32.0,1.0,2.0,600.0,0.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,416040.0,0.0,0.0,1.0,1.0,0.0,4.0,338.0
340,60.0,0.0,2.0,840.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,2.0,4.0,400000.0,2.0,1.0,1.0,1.0,0.0,3.0,340.0
375,32.0,1.0,1.0,600.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,253725.0,2.0,0.0,0.0,1.0,0.0,0.0,375.0
399,37.0,0.0,2.0,480.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,262890.0,2.0,0.0,0.0,1.0,0.0,0.0,399.0
401,25.0,0.0,1.0,900.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,252270.0,1.0,1.0,0.0,1.0,0.0,0.0,401.0
419,16.0,1.0,2.0,1272.0,2.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,4.0,2.0,255210.0,0.0,0.0,1.0,1.0,0.0,0.0,419.0
436,30.0,0.0,1.0,1440.0,1.0,1.0,2.0,6.0,0.0,3.0,3.0,0.0,2.0,2.0,349950.0,3.0,1.0,1.0,1.0,1.0,2.0,436.0
441,35.0,0.0,1.0,1092.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,4.0,3.0,291795.0,1.0,0.0,1.0,1.0,0.0,0.0,441.0
453,40.0,0.0,2.0,540.0,1.0,1.0,2.0,4.0,0.0,3.0,4.0,0.0,3.0,2.0,508050.0,2.0,0.0,0.0,1.0,0.0,4.0,453.0
467,47.0,1.0,2.0,480.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,0.0,1.0,4.0,417495.0,0.0,0.0,1.0,1.0,0.0,4.0,467.0
469,33.0,1.0,2.0,780.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,0.0,2.0,4.0,354930.0,3.0,1.0,1.0,1.0,0.0,2.0,469.0
479,55.0,0.0,2.0,420.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,402840.0,1.0,0.0,1.0,1.0,0.0,3.0,479.0
485,37.0,1.0,3.0,900.0,2.0,1.0,2.0,5.0,4.0,3.0,6.0,0.0,4.0,0.0,519240.0,1.0,1.0,1.0,1.0,1.0,4.0,485.0
