,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,NumberOfFollowups_outlier,Income_Category,id,ProdTaken
0,36.0,1.0,1.0,600.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,2.0,278145.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
1,53.0,0.0,2.0,840.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,300000.0,2.0,1.0,0.0,0.0,1.0,14.0,1.0
2,20.0,1.0,1.0,1440.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,253665.0,2.0,1.0,0.0,0.0,0.0,15.0,1.0
3,18.0,1.0,2.0,2100.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,0.0,3.0,1.0,500000.0,3.0,1.0,0.0,0.0,4.0,17.0,1.0
4,29.0,0.0,1.0,480.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,262725.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0
5,38.0,0.0,2.0,840.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,4.0,378210.0,1.0,0.0,0.0,0.0,3.0,40.0,1.0
6,32.0,0.0,2.0,1500.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,2.0,4.0,429570.0,3.0,0.0,0.0,0.0,4.0,48.0,1.0
7,50.0,0.0,2.0,960.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,4.0,427050.0,1.0,1.0,0.0,0.0,4.0,57.0,1.0
8,21.0,1.0,2.0,780.0,2.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,316770.0,1.0,0.0,0.0,0.0,1.0,70.0,1.0
9,33.4,0.0,1.0,1020.0,1.0,0.0,1.0,3.0,2.0,3.0,6.0,1.0,4.0,3.0,270870.0,1.0,0.0,0.0,0.0,0.0,96.0,1.0
10,34.0,1.0,2.0,1200.0,1.0,0.0,2.0,4.0,0.0,3.0,7.0,0.0,4.0,2.0,270405.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0
11,24.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,2.0,4.0,344400.0,2.0,1.0,0.0,0.0,2.0,111.0,1.0
12,38.0,0.0,2.0,960.0,2.0,0.0,2.0,3.0,0.0,4.0,5.0,0.0,2.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,121.0,1.0
13,38.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,260310.0,2.0,0.0,0.0,0.0,0.0,128.0,1.0
14,26.0,0.0,1.0,840.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,267015.0,2.0,0.0,0.0,0.0,0.0,132.0,1.0
15,50.0,1.0,2.0,900.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,274380.0,2.0,0.0,0.0,0.0,0.0,145.0,1.0
16,33.0,0.0,2.0,1080.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,342585.0,2.0,0.0,0.0,0.0,2.0,168.0,1.0
17,25.0,1.0,2.0,960.0,2.0,1.0,3.0,5.0,0.0,3.0,3.0,0.0,1.0,2.0,333030.0,0.0,0.0,0.0,1.0,2.0,182.0,1.0
18,50.0,1.0,1.0,1080.0,0.0,1.0,3.0,5.0,0.0,3.0,5.0,0.0,2.0,2.0,306420.0,2.0,1.0,0.0,1.0,1.0,184.0,1.0
19,27.0,1.0,1.0,540.0,1.0,1.0,3.0,5.0,0.0,4.0,2.0,1.0,1.0,2.0,270780.0,0.0,1.0,0.0,1.0,0.0,185.0,1.0
20,24.0,1.0,1.0,480.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,263715.0,1.0,1.0,0.0,0.0,0.0,190.0,1.0
21,31.0,0.0,2.0,540.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,4.0,2.0,397935.0,1.0,0.0,0.0,0.0,3.0,219.0,1.0
22,32.0,0.0,1.0,540.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,264420.0,2.0,0.0,0.0,0.0,0.0,266.0,1.0
23,52.0,1.0,3.0,600.0,2.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,1.0,2.0,266460.0,2.0,0.0,1.0,0.0,0.0,275.0,1.0
