,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,NumberOfFollowups_outlier,Income_Category,id,ProdTaken
0,19.0,1.0,2.0,960.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,260000.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
1,26.0,0.0,2.0,1020.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256455.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0
2,38.0,1.0,3.0,840.0,2.0,1.0,3.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,265110.0,2.0,0.0,0.0,0.0,0.0,154.0,0.0
3,36.0,1.0,2.0,480.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,264990.0,2.0,1.0,0.0,0.0,0.0,166.0,0.0
4,30.0,0.0,1.0,1020.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,5.0,2.0,267405.0,1.0,0.0,0.0,0.0,0.0,210.0,0.0
5,32.0,0.0,1.0,720.0,2.0,0.0,2.0,4.0,0.0,3.0,4.0,1.0,2.0,2.0,259680.0,0.0,1.0,1.0,0.0,0.0,254.0,0.0
6,40.0,0.0,2.0,480.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,272.0,0.0
7,24.0,0.0,2.0,960.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,263880.0,2.0,0.0,0.0,0.0,0.0,308.0,0.0
8,36.0,1.0,1.0,900.0,2.0,1.0,3.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,320.0,0.0
9,23.0,1.0,1.0,840.0,1.0,1.0,3.0,4.0,0.0,3.0,7.0,1.0,2.0,2.0,306435.0,2.0,1.0,1.0,0.0,1.0,336.0,0.0
10,24.0,0.0,2.0,900.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,312570.0,2.0,0.0,1.0,0.0,1.0,465.0,0.0
11,34.8,0.0,2.0,1920.0,0.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,320000.0,2.0,0.0,1.0,0.0,1.0,477.0,0.0
12,33.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,264105.0,2.0,0.0,0.0,0.0,0.0,707.0,0.0
13,36.0,1.0,2.0,600.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,259500.0,2.0,0.0,1.0,0.0,0.0,798.0,0.0
14,26.0,0.0,2.0,960.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,319200.0,0.0,1.0,1.0,0.0,1.0,800.0,0.0
15,32.0,0.0,2.0,540.0,2.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,3.0,2.0,256455.0,2.0,0.0,0.0,1.0,0.0,891.0,0.0
16,51.0,0.0,2.0,1020.0,2.0,1.0,1.0,6.0,0.0,3.0,5.0,0.0,2.0,2.0,301215.0,2.0,1.0,0.0,1.0,1.0,892.0,0.0
17,25.0,0.0,1.0,840.0,2.0,1.0,1.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,1.0,0.0,0.0,1.0,920.0,0.0
18,24.0,0.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,249480.0,2.0,1.0,0.0,0.0,0.0,1056.0,0.0
19,24.0,1.0,2.0,480.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,312690.0,2.0,0.0,0.0,0.0,1.0,1091.0,0.0
20,51.0,0.0,2.0,960.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,1.0,3.0,2.0,280000.0,1.0,0.0,0.0,0.0,0.0,1106.0,0.0
21,24.0,0.0,2.0,660.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,261930.0,2.0,0.0,0.0,0.0,0.0,1177.0,0.0
22,25.0,0.0,2.0,1380.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,259575.0,2.0,1.0,0.0,0.0,0.0,1187.0,0.0
23,24.0,0.0,1.0,900.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,268350.0,2.0,0.0,0.0,0.0,0.0,1209.0,0.0
24,26.0,0.0,2.0,1080.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,262770.0,2.0,1.0,0.0,0.0,0.0,1229.0,0.0
25,23.0,1.0,2.0,840.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256920.0,2.0,0.0,1.0,0.0,0.0,1285.0,0.0
26,26.0,0.0,1.0,540.0,2.0,1.0,2.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,250905.0,2.0,0.0,0.0,1.0,0.0,1311.0,0.0
27,27.0,1.0,2.0,540.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,0.0,3.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,1313.0,0.0
28,28.0,0.0,3.0,1800.0,2.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,1.0,1389.0,0.0
29,29.0,1.0,2.0,900.0,1.0,1.0,3.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,314655.0,1.0,0.0,1.0,0.0,1.0,1395.0,0.0
30,36.0,0.0,2.0,840.0,1.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,3.0,2.0,270600.0,0.0,0.0,0.0,0.0,0.0,1545.0,0.0
31,19.0,1.0,1.0,960.0,2.0,1.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,273990.0,0.0,0.0,0.0,0.0,0.0,1564.0,0.0
32,21.0,1.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,260310.0,2.0,0.0,0.0,0.0,0.0,1741.0,0.0
33,21.0,0.0,2.0,960.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,255075.0,2.0,0.0,0.0,0.0,0.0,1753.0,0.0
34,31.0,1.0,2.0,960.0,0.0,1.0,3.0,5.0,0.0,3.0,7.0,0.0,2.0,2.0,315615.0,2.0,0.0,1.0,1.0,1.0,1773.0,0.0
35,21.0,0.0,2.0,960.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,263130.0,2.0,0.0,0.0,0.0,0.0,1929.0,0.0
36,22.0,0.0,1.0,1440.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,253845.0,2.0,0.0,0.0,0.0,0.0,1944.0,0.0
