,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,ProdTaken,NumberOfFollowups_outlier,Income_Category,id
5,19.0,1.0,2.0,960.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,260000.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
91,26.0,0.0,2.0,1020.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256455.0,2.0,0.0,0.0,0.0,0.0,0.0,91.0
154,38.0,1.0,3.0,840.0,2.0,1.0,3.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,265110.0,2.0,0.0,0.0,0.0,0.0,0.0,154.0
166,36.0,1.0,2.0,480.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,264990.0,2.0,1.0,0.0,0.0,0.0,0.0,166.0
210,30.0,0.0,1.0,1020.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,5.0,2.0,267405.0,1.0,0.0,0.0,0.0,0.0,0.0,210.0
254,32.0,0.0,1.0,720.0,2.0,0.0,2.0,4.0,0.0,3.0,4.0,1.0,2.0,2.0,259680.0,0.0,1.0,1.0,0.0,0.0,0.0,254.0
272,40.0,0.0,2.0,480.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,270000.0,2.0,1.0,0.0,0.0,0.0,0.0,272.0
308,24.0,0.0,2.0,960.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,263880.0,2.0,0.0,0.0,0.0,0.0,0.0,308.0
320,36.0,1.0,1.0,900.0,2.0,1.0,3.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,0.0,1.0,0.0,0.0,1.0,320.0
336,23.0,1.0,1.0,840.0,1.0,1.0,3.0,4.0,0.0,3.0,7.0,1.0,2.0,2.0,306435.0,2.0,1.0,1.0,0.0,0.0,1.0,336.0
465,24.0,0.0,2.0,900.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,312570.0,2.0,0.0,1.0,0.0,0.0,1.0,465.0
477,34.8,0.0,2.0,1920.0,0.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,2.0,320000.0,2.0,0.0,1.0,0.0,0.0,1.0,477.0
707,33.0,0.0,2.0,840.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,264105.0,2.0,0.0,0.0,0.0,0.0,0.0,707.0
798,36.0,1.0,2.0,600.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,259500.0,2.0,0.0,1.0,0.0,0.0,0.0,798.0
800,26.0,0.0,2.0,960.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,1.0,3.0,2.0,319200.0,0.0,1.0,1.0,0.0,0.0,1.0,800.0
851,25.0,1.0,1.0,540.0,0.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,258930.0,3.0,0.0,1.0,0.0,0.0,0.0,851.0
891,32.0,0.0,2.0,540.0,2.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,3.0,2.0,256455.0,2.0,0.0,0.0,0.0,1.0,0.0,891.0
892,51.0,0.0,2.0,1020.0,2.0,1.0,1.0,6.0,0.0,3.0,5.0,0.0,2.0,2.0,301215.0,2.0,1.0,0.0,0.0,1.0,1.0,892.0
920,25.0,0.0,1.0,840.0,2.0,1.0,1.0,4.0,0.0,3.0,7.0,0.0,2.0,2.0,300000.0,2.0,1.0,0.0,0.0,0.0,1.0,920.0
1056,24.0,0.0,2.0,900.0,2.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,249480.0,2.0,1.0,0.0,0.0,0.0,0.0,1056.0
1091,24.0,1.0,2.0,480.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,2.0,312690.0,2.0,0.0,0.0,0.0,0.0,1.0,1091.0
1106,51.0,0.0,2.0,960.0,2.0,0.0,1.0,4.0,0.0,3.0,2.0,1.0,3.0,2.0,280000.0,1.0,0.0,0.0,0.0,0.0,0.0,1106.0
