,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Marital_Status,Car_Ownership,Has_Children,NumberOfFollowups_outlier,Income_Category,id,ProdTaken
5,19.0,1.0,2.0,960.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,260000.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
34,28.0,1.0,1.0,540.0,1.0,0.0,1.0,3.0,0.0,3.0,5.0,1.0,3.0,2.0,270000.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0
68,25.0,0.0,1.0,420.0,2.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,270735.0,2.0,0.0,0.0,0.0,0.0,68.0,0.0
91,26.0,0.0,2.0,1020.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,256455.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0
120,22.0,0.0,3.0,960.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,2.0,255405.0,2.0,1.0,0.0,0.0,0.0,120.0,0.0
138,46.0,1.0,1.0,780.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,257970.0,2.0,0.0,0.0,0.0,0.0,138.0,0.0
143,58.0,1.0,2.0,660.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,2.0,270540.0,2.0,0.0,0.0,0.0,0.0,143.0,0.0
148,34.0,0.0,2.0,840.0,2.0,1.0,3.0,5.0,0.0,3.0,6.0,0.0,1.0,2.0,322026.0,2.0,0.0,0.0,1.0,1.0,148.0,0.0
154,38.0,1.0,3.0,840.0,2.0,1.0,3.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,265110.0,2.0,0.0,0.0,0.0,0.0,154.0,0.0
162,52.0,0.0,1.0,960.0,2.0,1.0,1.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,277005.0,2.0,0.0,0.0,0.0,0.0,162.0,0.0
